Name	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
B4GALNT3	6.18399831441751	8.492336338263941	9.02393958566826	8.530472541528491	6.643231410837839	4.2909989197283895	7.20957964465796	8.62483828471959	7.34537140231417	8.77993191296642	8.252775858251692	8.139472974071099	8.57350030533078	9.18625648102198	8.16821042195992	8.96823436334483	8.38153331299782	8.45495061541748	8.19415687382429	8.43388033000639	7.467367983042361	9.14917045964605	8.610397915293031
AK7	7.14842940845694	5.87238226742728	7.28413869719175	6.83315598970755	4.0579044979742305	3.7539896527888	2.88028743146547	6.38813398819381	5.5491886646436	6.55160946678764	5.50762978305426	2.2918416302148996	6.06243521613693	6.961332317627329	6.93658708457823	5.5357296879115	7.171983500310639	7.19861199642347	6.8897792918751595	6.908243713750171	5.1453995262376395	6.3551956734545705	6.72844381293772
ZBTB3	7.98764524254488	6.723986678583599	7.88391108547511	7.98839986838641	8.41849437559314	8.74961066077369	8.02914835709059	7.57780162966867	5.05509654365926	8.55197997019111	7.27412516727535	7.353783535569121	7.4518682292866805	7.574024662242089	8.33822985980205	7.9087770440274205	7.8777192417914295	8.40138410346128	8.685891812588249	8.60831608115014	8.361050903391451	9.01689718894043	8.74242128651385
ALG14	9.539376920802528	9.61782513402159	10.2411551506659	9.78147017874994	9.33325882921352	10.2487261609954	8.85598718155699	9.974099623416901	9.7463398402198	10.282343862318	10.0339257014271	10.5834947420033	10.4081937961835	10.052031992735	9.984263288818712	9.5426109599286	10.431052478279	9.39351248604867	10.426338857626599	9.966491369518401	10.1654957327171	9.56438455579968	10.1193600654836
ZNF564	8.449635574934861	8.21523347535681	8.080811511704	8.034469875051741	8.39243233573212	9.03648873143295	8.817625150407938	8.31946044241373	8.35789264275931	8.53971709586204	7.968763896837769	8.51833727414083	8.03783865360569	8.4074135221989	8.1708338534332	8.74054550780116	7.8422525008559205	8.17095255563622	8.53393482083341	8.53751429548879	8.61170813344159	8.34662207527341	8.65376635833154
ADAT3	8.82120194919398	7.3747702045476995	7.676163270680151	8.06553644086704	7.53720773659452	8.12593918213843	8.42990459149264	8.05275758294298	7.33603154596484	8.26375474694624	7.99290913085224	7.97284598963562	8.6197725427137	8.41754158481953	8.24943959058449	7.98345170303266	7.96039467985014	8.125777944526089	8.34232293689779	8.01627220739628	7.980262587144309	7.945522330899251	8.38708031031441
ADAT3	9.6775108320945	9.320997299215929	9.72364803090917	9.28002012527953	8.96313253589215	9.870523134522891	9.42870302225569	9.43520505064119	9.179210703864198	9.526339954855091	9.754449911818698	9.294965215529869	9.44092516800142	9.141124244739721	9.10313874670617	9.614854610563	9.555125513062961	9.326303708744359	9.21454442836991	9.288085543795741	9.20886839505268	9.9406724950271	9.656575322982551
LLGL2	9.58400790983456	9.03362178516151	9.81112623633776	9.18864528402019	8.987102119813539	9.46574424733321	8.2562539056326	9.16687685049828	8.96357355437372	10.0703219415102	9.747227709423118	9.68287181599197	10.3952323503628	9.80800919206334	9.55115483339818	9.516126458170891	9.872028622071142	9.03309695967083	9.174367231480652	10.1564741390459	9.725858512123411	9.57312777680103	9.67484773670836
MYO10	7.46379250163117	7.9268237793065595	7.364113279319531	7.2529562693738	8.03203008455938	7.25542857770853	7.351510278521429	7.6705627877753795	7.12509495232204	7.61106004143703	7.9837423728599815	7.005159016886151	7.0865426600398695	7.62695266954773	7.27294281933572	7.37380493844939	7.75763344840711	7.920170555136111	7.19272444371091	7.70330670011968	7.825305384701901	8.5103774936094	8.205940423659131
SLC4A4	7.626128770558621	6.448715730637691	7.24686437760496	6.5094693818375395	6.972101774669531	6.80476460923272	6.1749124236230495	6.079690511870839	7.31709734819289	7.47795288967108	6.57960895784415	6.40910771578946	7.7178311909266295	6.5926814971743	6.787696258835241	6.715678528586251	7.329885825134911	6.65621305223189	4.47456979298921	6.6651808369007	6.73967638099393	7.288933366074481	6.93758304803488
