Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SLC36A1	1.88752527074159	4.35049724708413	1.37851162325373	1.26303440583379	4.66106547980695	3.83794324189103	3.92599941855622	2.7004397181410895	4.30742852519225	2.23266075679027	2.16992500144231	2.7004397181410895	5.794415866350111	3.4462562298895603	1.0703893278914	1.5849625007211599	5.28909670241999	3.2172307162206697	2.6553518286125497	2.8073549220576	2.23266075679027	5.343407822297809	3.9448584458075397	3.18586654531133
MIER3	3.6667565918847997	5.1456774551956395	5.835418840475481	6.0400156788478805	5.614709844115209	5.04439411935845	6.266786540694901	6.19574129324645	5.56071495447448	6.0703893278914	3.2927817492278497	5.37155886261196	5.50143914515887	5.669593751188331	5.25171909260596	4.92599941855622	7.142617655446581	5.36806987653208	5.80477637795583	6.03782146543497	7.20359271420771	4.47897180503294	5.85549144310187	5.1699250014423095
COX6B2	6.86418614465428	6.7045953476324	6.556122817841179	6.818901675885639	6.09592441999854	6.7892075753473495	6.357552004618079	7.098032082960531	6.61176256006487	6.32732808262995	5.80992886572143	6.9530323772532405	3.9354597478052904	5.62643913669732	6.38024459047819	6.26115467261557	6.08321336824898	6.66249036391378	6.8801957289431	6.405992359675841	6.94485844580754	5.44625622988956	5.85549144310187	6.27612440527424
EPHA10	4.28540221886225	4.887525270741589	4.129283016944971	3.0703893278914	2.8073549220576	4.07895134139482	3.35049724708413	0.485426827170242	0.6780719051126379	2.4059923596758397	3.9164766444377204	4.66106547980695	4.99548451887751	5.09169983413681	4.18586654531133	1.0703893278914	4.0089887832272595	2.8278190246173196	4.06177619758669	4.82273014794452	4.57893871309339	4.72246602447109	4.112700132749359	2.8073549220576
JPH1	4.76022094646651	6.05961485629722	5.399171093819821	5.53915881110803	6.0639343057541	5.835418840475481	6.03342300153745	5.99548451887751	6.2364926183813	6.55151601762801	4.95884267524324	5.52042224852645	5.8150630171928706	5.53294028837287	5.19377174339668	4.84799690655495	6.08746284125034	5.928370323018969	5.55151601762801	5.80992886572143	6.770829046032491	5.593951283948411	5.68929916053589	5.762880292917
SLC29A2	2.0	4.554588851677639	4.20945336562895	4.5668151540109	3.20163386116965	4.590961241342599	5.6639138421159805	3.1043366598147406	4.4262647547021	5.22110372536788	4.92599941855622	5.61176256006487	2.63226821549951	5.53915881110803	2.96347412397489	4.24031432933371	4.47897180503294	3.78659636189081	6.04657836662033	4.4262647547021	4.84799690655495	5.8801957289431	4.8678964639926505	1.84799690655495
ILDR1	1.53605290024021	4.57288966842058	3.0703893278914	4.92124588858559	4.54225804976692	4.79181407116183	4.93545974780529	1.48542682717024	1.48542682717024	5.23266075679027	1.43295940727611	1.53605290024021	2.26303440583379	2.03562390973072	3.81762325751143	2.37851162325373	3.6667565918847997	6.191799501065081	4.590961241342599	1.8073549220576	1.5849625007211599	5.07895134139482	4.99548451887751	4.77082904603249
DDAH1	4.90207357931074	6.10643207781693	5.8328900141647395	6.5999128421871305	4.14567745519564	2.03562390973072	5.791814071161831	6.42290574261218	6.2649116930744695	5.40258575823259	5.12101540096137	6.4262647547021	3.40599235967584	5.71973105674985	4.30742852519225	4.95419631038688	6.4708621994137	2.3219280948873595	5.56071495447448	6.06177619758669	5.9044840979014195	1.67807190511264	5.5576551547254205	4.949534933017009
PPARGC1B	6.395748328179031	5.88752527074159	6.311067102255599	5.24792751344359	6.9518675043269	6.4966540825934995	5.92124588858559	6.376776571882981	6.07681559705083	6.8328900141647395	6.20554891117303	6.543805175964401	7.00112666545428	6.35402893805439	6.9875482589537405	6.06824086131282	5.5999128421871305	7.0509369652252305	6.90207357931074	5.9164766444377195	6.431288654291589	7.30924896081662	6.872828759534889	6.75755668893945
KLC4	4.7279204545632005	2.3219280948873595	3.3219280948873595	0.6780719051126379	4.24031432933371	4.32192809488736	4.85798099512757	3.9354597478052904	5.35049724708413	1.92599941855622	2.0	3.60880924267552	1.48542682717024	3.8073549220576	4.99548451887751	1.92599941855622	2.7004397181410895	4.41953889151378	2.35049724708413	2.48542682717024	4.53605290024021	4.71699089440494	1.37851162325373	2.16992500144231
