Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ATP1A1	11.78670545	12.10372882	12.24761451	12.41012976	12.22733376	12.02156917	12.17061231	12.25693008	12.29686595	12.15099315	12.08398274	11.81882584	11.4225332	12.2415871	12.59584193	12.47782977	12.36489128	11.90792386	12.24029799	12.24144905	12.79928795	11.89425603	12.48360977
TUFT1	7.681994351	7.361470767999999	7.964734814	7.392282305	7.877426625	8.227963127999999	7.903450146	7.71453869	7.8692441220000005	7.5878375920000005	7.880459422	7.476382197	6.90271331	7.969747919	8.109091439	8.24883573	8.138846896	8.193622361000001	7.95535095	7.542004775	7.963122743	8.210583658	8.197109883
ZBTB7B	7.332534599	7.907610908	8.002275427	7.661085122	7.593380066	7.507838546	7.569532201	7.778406747000001	8.079117054	7.588368892	7.611135818999999	7.409045408	7.607390145	7.50943446	7.886683908999999	7.947482309	7.779299955	7.432740552	7.483989662999999	7.786467165	8.051185703	7.781961465	7.761696292999999
EFNA4	7.616916609	7.827359375	8.27967377	8.023976122999999	8.259469879	7.928774882000001	7.931061102	7.922749434	8.090067826	7.953031151	7.866971551000001	7.7423431570000005	7.358192544	7.966869596	7.858987585	8.188411366	8.233188843999999	7.815328175	7.870575717	8.025090886000001	8.410009779	7.883817603	8.102971736
EFNA3	7.346613417	7.447668207	8.03026856	7.731068518	7.828973587999999	7.604693929	7.5181821310000005	7.8348329660000005	7.632413184	7.821466875	7.622583293	7.477357702000001	7.002797507	7.66903599	8.034328979	8.30687524	7.752472527	7.7438746620000005	7.5771852729999996	7.28587445	7.73776547	7.728733592999999	8.523309015
HCN3	6.829497064	7.401179261	7.480343509	7.255358847	7.1192257979999995	6.94230706	7.027680106	7.17209051	7.634323065	7.100131022999999	7.485895748	6.724651966000001	7.024505122000001	7.143302086	7.336731005	7.276786939	7.014064071	7.163473555	6.945792264	7.381176955	7.388706448	7.228768645	7.320388648
APOA1BP	8.857799939	8.838811043	9.00816734	8.954318269	9.223731152000001	9.147974542	8.973519406	9.07008048	9.000187449	8.982634958	9.050530732	9.023542362999999	9.121212879	8.578431662	9.102023904	9.332455381	9.092474885	8.89847924	9.136402915	9.001145809	9.314093482	9.039109483999999	9.049082599
KLHDC9	5.214149375	5.248971631	5.698241641	5.476348077999999	5.663682201	5.558573459	5.443496391	5.56413274	5.5472539339999996	5.391438832	5.412909882	5.145300156	5.048649006000001	5.359237356	5.478117235	5.496048807999999	5.60307131	5.351523355	5.490041326	5.455996133999999	5.571765602999999	5.240103028	5.373764058
NIT1	7.551716005	7.854811612000001	8.119417537	7.787846976	7.775831482	7.828094538999999	7.836483629	7.819002694	8.027043406	7.795560823	7.7856348529999995	7.654283984	7.328216365	7.8292700989999995	8.079511802	8.018798015	7.9775962929999995	7.856651016	7.7018825920000005	7.964323592	8.325179304	7.9091940570000006	7.797294517
NDUFS2	8.78240179	8.936100343	9.266655453	9.135530034	9.229833609	9.383604502	9.157084134	8.940093465	9.024493117	8.936917622000001	9.023361139	8.762205208	8.633747129	8.994204081	9.352499596	9.160867155	9.523595575	8.991626678	9.230859391000001	9.134650984	9.461183402	9.080577328	9.111946409
TOMM40L	6.505778124	6.6468153270000006	6.867568331	6.923540217	6.847136316	6.973532456	6.704214372	6.836067504	6.818007998	6.6382546	6.85256675	6.740953171	6.7009095510000005	6.670879557	6.947444764	6.927442699	7.180045872999999	6.64802222	6.753248787	6.968497879	7.284478756	6.868768873	6.649937757999999
SDHC	7.289121559	7.54296501	7.873902621	7.657674116	7.654149349	7.841748796	7.6126270279999995	7.54674012	7.244377918	7.358665955	7.293902107	7.5001602489999994	6.850005374	7.422817531000001	7.414585242999999	7.9135927839999995	7.729524077000001	7.613394258	7.56303447	7.436098075	8.014670944	7.812658149	7.706638712
UAP1	9.500241472999999	9.24772532	9.56846413	9.614466661	9.747596921	9.590541137	9.612414317999999	9.265361517	9.167751492	9.493064935	9.459189447	9.245865435	8.813991041	9.514390567000001	9.619250334	9.167202356	9.562845173	9.474873524	9.457567748999999	9.495045839	9.921243582	9.700622802	9.605733714
